"astro-ph/0305523","Je-An Gu","Je-An Gu","Kaluza-Klein Burst: a New Mechanism for Generating Ultrahigh-Energy
  Cosmic Rays","13 pages, LaTeX",,,,"astro-ph hep-ph hep-th",,"  By invoking small extra dimensions as a good energy bearer, a new scenario
for understanding the origin of ultrahigh-energy cosmic rays (UHECRs), from
both the bottom-up and the top-down viewpoints, is proposed. We explore the
possibility of generating UHECRs via Kaluza-Klein (KK) bursts, a violent energy
transfer from extra dimensions to ordinary dimensions through collisions
between KK modes, in particular, within clumps of KK modes. The possible scales
of these clumps range from the astronomical, e.g. KK stellar compact objects,
to the microscopic, e.g. ""KKonium"". Advantages of this KK burst model of UHECRs
and possible signatures of clumped KK modes are discussed.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:53:45 GMT""},{""version"":""v2"",""created"":""Thu, 10 Nov 2005 21:46:37 GMT""}]","2007-05-23"
"hep-th/0305251","Kazunori Takenaga","Kazunori Takenaga (Osaka University)","Effect of Bare Mass on the Hosotani Mechanism","10 pages, version to appear in Phys. Lett. B","Phys.Lett. B570 (2003) 244-250","10.1016/j.physletb.2003.07.062","OU-HET-447/2003","hep-th",,"  It is pointed out that the existence of bare mass terms for matter fields
changes gauge symmetry patterns through the Hosotani mechanism. As a
demonstration, we study an SU(2) gauge model with massive adjoint fermions
defined on $M^4\otimes S^1$. It turns out that the vacuum structure changes at
certain critical values of $mL$, where $m~(L)$ stands for the bare mass (the
circumference of $S^1$). The gauge symmetry breaking patterns are different
from models with massless adjoint fermions. We also consider a supersymmmetric
SU(2) gauge model with adjoint hypermultiplets, in which the supersymmetry is
broken by bare mass terms for the gaugino and squark fields instead of the
Scherk-Schwarz mechanism.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 05:00:22 GMT""},{""version"":""v2"",""created"":""Fri, 1 Aug 2003 03:57:48 GMT""}]","2009-11-10"
"hep-th/0305252","Diptiman Sen","B. Basu-Mallick (1), Tanaya Bhattacharyya (1), Diptiman Sen (2) ((1)
  SINP, Kolkata, (2) IISc, Bangalore)","Bound and anti-bound soliton states for a quantum integrable derivative
  nonlinear Schrodinger model","LaTeX, 11 pages, no figures","Phys.Lett. A325 (2004) 375-380","10.1016/j.physleta.2004.04.010",,"hep-th cond-mat nlin.SI",,"  We find that localized quantum N-body soliton states exist for a derivative
nonlinear Schrodinger (DNLS) model within an extended range of coupling
constant (\xi_q) given by 0 < | \xi_q | < 1/\hbar \tan [\pi/(N-1)]. We also
observe that soliton states with both positive and negative momentum can appear
for a fixed value of \xi_q. Thus the chirality property of classical DNLS
solitons is not preserved at the quantum level. Furthermore, it is found that
the solitons with positive (negative) chirality have positive (negative)
binding energy.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 09:31:28 GMT""}]","2009-11-10"
"hep-th/0305253","Tetsuya Shiromizu","Tetsuya Shiromizu, Kazuya Koyama, Sumitada Onda, Takashi Torii","Can we live on a D-brane? -- Effective theory on a self-gravitating
  D-brane --","13 pages, accepted for publication in Physical Review D","Phys.Rev. D68 (2003) 063506","10.1103/PhysRevD.68.063506",,"hep-th astro-ph gr-qc hep-ph",,"  We consider a D-brane coupled with gravity in type IIB supergravity on S^5
and derive the effective theory on the D-brane in two different ways, that is,
holographic and geometrical projection methods. We find that the effective
equations on the brane obtained by these methods coincide. The theory on the
D-brane described by the Born-Infeld action is not like Einstein-Maxwell theory
in the lower order of the gradient expansion, i.e., the Maxwell field does not
appear in the theory. Thus the careful analysis and statement for cosmology on
self-gravitating D-brane should be demanded in realistic models.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 09:32:49 GMT""},{""version"":""v2"",""created"":""Thu, 5 Jun 2003 03:12:31 GMT""},{""version"":""v3"",""created"":""Tue, 1 Jul 2003 09:06:12 GMT""}]","2009-11-10"
"hep-th/0305254","Mario Novello","M.Novello and J.M.Salim","The stability of a bouncing universe","9 pages, no figures",,,,"hep-th",,"  We investigate the stability of a spatially homogeneous and isotropic
non-singular cosmological model. We show that the complete set of independent
perturbations (the electric part of the perturbed Weyl tensor and the perturbed
shear) are regular and well behaved functions which have no divergences,
contrary to previous claims in the literature.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 12:36:29 GMT""},{""version"":""v2"",""created"":""Fri, 5 Dec 2003 18:07:01 GMT""}]","2007-05-23"
"hep-th/0305255","Evgenyi Ivanov","E. Ivanov","`Conformal Theories - AdS Branes' Transform, or One More Face of AdS/CFT","Latex, 16pp., Contribution to the proceedings of the Seminar
  ``Classical and Quantum Integrable Systems'' (Protvino, Russia, 8--11 Jan.
  2003)","Theor.Math.Phys. 139 (2004) 513-528; Teor.Mat.Fiz. 139 (2004)
  77-95","10.1023/B:TAMP.0000022743.47829.d0",,"hep-th",,"  The AdS/CFT transformation relates two nonlinear realizations of
(super)conformal groups: their realization in the appropriate field theories in
Minkowski space with a Goldstone dilaton field and their realization as
(super)isometry groups of AdS (super)spaces. It exists already at the classical
level and maps the field variables and space-time coordinates of the given
(super)conformal field theory in $d$-dimensional Minkowski space ${\cal M}_d$
on the variables of a scalar codimension one (super)brane in AdS$_{d+1}$ in a
static gauge, the dilaton being mapped on the transverse AdS brane coordinate.
We explain the origin of this coordinate map and describe some its
implications, in particular, in $d=1$ models of conformal and superconformal
mechanics. We also give a suggestive geometric interpretation of this AdS/CFT
transform in the pure bosonic case in the framework of an extended
$2d+1$-dimensional conformal space involving extra coordinates associated with
the generators of dilatations and conformal boosts.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 14:34:26 GMT""}]","2009-11-10"
"math-ph/0305060","Attila Andai","Attila Andai","Monotone Riemannian metrics on density matrices with non-monotone scalar
  curvature","15 pages, to be published in Journal of Mathematical Physics","Journal of Mathematical Physics, 44, 3675-3688, 2003.","10.1063/1.1592874",,"math-ph math.DG math.MP",,"  The theory of monotone Riemannian metrics on the state space of a quantum
system was established by Denes Petz in 1996. In a recent paper he argued that
the scalar curvature of a statistically relevant - monotone - metric can be
interpreted as an average statistical uncertainty. The present paper
contributes to this subject. It is reasonable to expect that states which are
more mixed are less distinguishable than those which are less mixed. The
manifestation of this behavior could be that for such a metric the scalar
curvature has a maximum at the maximally mixed state. We show that not every
monotone metric fulfils this expectation, some of them behave in a very
different way. A mathematical condition is given for monotone Riemannian
metrics to have a local minimum at the maximally mixed state and examples are
given for such metrics.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 12:21:00 GMT""}]","2009-11-10"
"math/0305406","Stefan Friedl","Stefan Friedl","Full signature invariants for $L_0(F(t))$","8 pages",,,,"math.AT math.GT",,"  We find full invariants for detecting non--zero elements in
${L}_0(F(t))\otimes \Q$, this group plays an important role in topology in the
work done by Casson and Gordon.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 16:03:38 GMT""}]","2007-05-23"
"math/0305407","Andres Vina","Andr\'es Vi\~na","On the Homotopy of Symplectomorphism Groups of Homogeneous Spaces","6 pages. Added new reference. Proposition 4 corrected",,,,"math.SG",,"  Let ${\cal O}$ be a quantizable coadjoint orbit of a semisimple Lie group
$G$. Under certain hypotheses we prove that $#(\pi_1(\text{Ham}({\cal O})))\geq
#(Z(G))$, where $\text{Ham}({\cal O})$ is the group of Hamiltonian
symplectomorphisms of ${\cal O}$.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 16:38:44 GMT""},{""version"":""v2"",""created"":""Mon, 11 Aug 2003 08:59:50 GMT""}]","2007-05-23"
"math/0305408","Isabelle Catto","Eric Canc\`es, Isabelle Catto and Yousra Gati","Mathematical analysis of a nonlinear parabolic equation arising in the
  modelling of non-newtonian flows","add proof of uniqueness of steady states",,,,"math.AP",,"  The mathematical properties of a nonlinear parabolic equation arising in the
modelling of non-newtonian flows are investigated. The peculiarity of this
equation is that it may degenerate into a hyperbolic equation (in fact a linear
advection equation). Depending on the initial data, at least two situations can
be encountered: the equation may have a unique solution in a convenient class,
or it may have infinitely many solutions.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 16:29:07 GMT""},{""version"":""v2"",""created"":""Fri, 6 Jun 2003 10:06:27 GMT""}]","2007-05-23"
"math/0305409","Alexander Givental","Alexander Givental","Symplectic geometry of Frobenius structures","22 pages",,,,"math.AG",,"  The purpose of the notes is to reiterate and expand the viewpoint, outlined
in the paper math.AG/0110142 of T. Coates and the author, which recasts the
concept of Frobenius manifold in terms of linear symplectic geometry and
exposes the role of the twisted loop group L^{(2)}GL_N of hidden symmetries.
New applications include a several line proof of the genus 0 Virasoro
constraints and the quantum Hirzebruch-Riemann-Roch theorem in the theory of
cobordism-valued Gromov-Witten invariants.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:46:13 GMT""}]","2007-05-23"
"math/0305410","Mark W. Meckes","Mark W. Meckes","Volumes of symmetric random polytopes","AMS-LaTeX","Arch. Math. 82 (2004) no. 1, 85-96",,,"math.MG math.PR",,"  We consider the moments of the volume of the symmetric convex hull of
independent random points in an $n$-dimensional symmetric convex body. We
calculate explicitly the second and fourth moments for $n$ points when the
given body is $B_q^n$ (and all of the moments for the case $q = 2$), and derive
from these the asymptotic behavior of the expected volume of a random simplex
in those bodies.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:31:16 GMT""}]","2007-05-23"
"math/0305411","Mark W. Meckes","Mark W. Meckes","On symmetric versions of Sylvester's problem","AMS-LaTeX","Monatsh. Math. 145 no. 4, 307-319 (2005)","10.1007/s00605-005-0300-9",,"math.MG math.PR",,"  We consider moments of the normalized volume of a symmetric or nonsymmetric
random polytope in a fixed symmetric convex body. We investigate for which
bodies these moments are extremized, and calculate exact values in some of the
extreme cases. We show that these moments are maximized among planar convex
bodies by parallelograms.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:37:43 GMT""}]","2007-05-23"
"math/0305412","James M. Belk","James M. Belk (Cornell University), Kenneth S. Brown (Cornell
  University)","Forest diagrams for elements of Thompson's group F","44 pages, 70 figures","Int. J. Algebr. Comput. 15.05n06 (2005) 815-850","10.1142/S021819670500261X",,"math.GR",,"  We introduce forest diagrams to represent elements of Thompson's group F.
These diagrams relate to a certain action of F on the real line in the same way
that tree diagrams relate to the standard action of F on the unit interval.
Using forest diagrams, we give a conceptually simple length formula for
elements of F with respect to the {x_0,x_1} generating set, and we discuss the
construction of minimum-length words for positive elements. Finally, we use
forest diagrams and the length formula to examine the structure of the Cayley
graph of F.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 23:49:35 GMT""}]","2018-10-30"
"math/0305413","Alan Weinstein","Xiang Tang and Alan Weinstein","Quantization and Morita equivalence for constant Dirac structures on
  tori","9 pages",,,,"math.QA math.OA math.SG",,"  We define a C*-algebraic quantization of constant Dirac structures on tori,
which extends the standard quantization of Poisson structures. We prove that
Dirac structures in the same orbit of a natural action of O(n,n|Z) give rise to
Morita equivalent algebras, completing and extending a theorem of Rieffel and
Schwarz.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 00:16:53 GMT""}]","2016-09-07"
"math/0305414","Eric J. Rawdon","Eric J.Rawdon, Jonathan K. Simon","Polygonal approximation and energy of smooth knots","29 pages, 5 figures",,,,"math.GT",,"  We establish a fundamental connection between smooth and polygonal knot
energies, showing that the Minimum Distance Energy for polygons inscribed in a
smooth knot converges to the Moebius Energy of the smooth knot as the polygons
converge to the smooth knot. However, the polygons must converge in a ``nice''
way, and the energies must be correctly regularized. We determine an explicit
error bound between the energies in terms of the number of the edges of the
polygon and the Ropelength of the smooth curve.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 00:20:03 GMT""}]","2007-05-23"
"math/0305415","Adam S. Sikora","Marta M. Asaeda, Jozef H. Przytycki, Adam S. Sikora","Kauffman-Harary conjecture holds for Montesinos Knots","to appear in Journal of Knot Theory and Ramifications, 11 pages, 10
  figures","J. Knot Theory Ramifications, 13(4) (2004) 467--477",,,"math.GT",,"  The Kauffman-Harary conjecture states that for any reduced alternating
diagram K of a knot with a prime determinant p, every non-trivial Fox
p-coloring of K assigns different colors to its arcs. We generalize the
conjecture by stating it in terms of homology of the double cover of S^3
branched along a link.
  In this way we extend the scope of the conjecture to all prime alternating
links of arbitrary determinants. We first prove the Kauffman-Harary conjecture
for pretzel knots and then we generalize our argument to show the generalized
Kauffman-Harary conjecture for all Montesinos links. Finally, we speculate on
the relation between the conjecture and Menasco's work on incompressible
surfaces in exteriors of alternating links.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 05:52:38 GMT""}]","2015-05-27"
"math/0305416","Dmitri A. Timashev","Dmitri A. Timashev","Complexity of homogeneous spaces and growth of multiplicities","AmSLaTeX, 9 pages, 15 references",,,,"math.AG math.RT",,"  The complexity of a homogeneous space $G/H$ under a reductive group $G$ is by
definition the codimension of generic orbits in $G/H$ of a Borel subgroup
$B\subseteq G$. We give a representation-theoretic interpretation of this
number as the exponent of growth for multiplicities of simple $G$-modules in
the spaces of sections of line bundles on $G/H$. For this, we show that these
multiplicities are bounded from above by the dimensions of certain Demazure
modules. This estimate for multiplicities is uniform, i.e., it depends not on
$G/H$, but only on its complexity.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 07:25:19 GMT""},{""version"":""v2"",""created"":""Tue, 9 Sep 2003 12:58:03 GMT""}]","2007-05-23"
"math/0305417","C. S. Rajan","C. S. Rajan","Unique decomposition of tensor products of irreducible representations
  of simple algebraic groups","23 pages, to appear in Annals of Mathematics",,,,"math.RT math.GR",,"  We show that a tensor product of irreducible, finite dimensional
representations of a simple Lie algebra over a field of characteristic zero,
determines the individual constituents uniquely. This is analogous to the
uniqueness of prime factorisation of natural numbers.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 12:11:20 GMT""}]","2007-05-23"
"math/0305418","David Garber","Meirav Amram (Hebrew University, Jerusalem), David Garber (Hebrew
  University, Jerusalem) and Mina Teicher (Bar-Ilan University, Ramat-Gan)","Fundamental groups of Tangent Conic-Line arrangements with Singularities
  up to order 6","40 pages, many eps figures; Some updates for final version. To appear
  in Math. Zeit",,,,"math.GT math.AT",,"  We list all the possible fundamental groups of the complements of real
conic-line arrangements with two conics which are tangent to each other at two
points, with up to two additional lines.
  For the computations we use the topological local braid monodromies and the
techniques of Moishezon-Teicher and van-Kampen.
  We also include some conjectures concerning the connection between the
presentation of the fundamental group of the complements and the geometry of an
interesting family of conic line arrangements.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 13:13:43 GMT""},{""version"":""v2"",""created"":""Mon, 26 Jan 2004 14:47:31 GMT""},{""version"":""v3"",""created"":""Tue, 24 Jan 2006 12:58:01 GMT""},{""version"":""v4"",""created"":""Sun, 29 Oct 2006 13:00:38 GMT""}]","2007-05-23"
"math/0305419","Vladimir N. Ivanov","Vladimir N. Ivanov","Interpolation analogues of Schur Q-functions","LaTeX2e, 20 pages",,,,"math.CO math.RT",,"  We introduce interpolation analogues of Schur Q-functions - the
multiparameter Schur Q-functions. We obtain for them several results: a
combinatorial formula, generating functions for one-row and two-rows functions,
vanishing and characterization properties, a Pieri-type formula, a Nimmo-type
formula (a relation of two Pfaffians), a Giambelli-Schur-type Pfaffian formula,
a determinantal formula for the transition coefficients between multiparameter
Schur Q-functions with different parameters. We write an explicit Pfaffian
expression for the dimension of skew shifted Young diagram. This paper is a
continuation of author's paper math.CO/0303169 and is a partial projective
analogue of the paper by A. Okounkov and G. Olshanski q-alg/9605042, and of the
paper by G. Olshanski, A. Regev and A. Vershik math.CO/0110077.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 14:31:49 GMT""}]","2007-05-23"
"math/0305420","Matthias Beck","Matthias Beck and Shelemyahu Zacks","Refined upper bounds for the linear Diophantine problem of Frobenius","12 pages, 5 figures","Adv. Appl. Math. 32, no. 3 (2004), 454-467",,,"math.NT math.CO",,"  We study the Frobenius problem: given relatively prime positive integers
a_1,...,a_d, find the largest value of t (the Frobenius number g(a_1,...,a_d))
such that m_1 a_1 + ... m_d a_d = t has no solution in nonnegative integers
m_1,...,m_d. We introduce a method to compute upper bounds for g(a_1,a_2,a_3),
which seem to grow considerably slower than previously known bounds. Our
computations are based on a formula for the restricted partition function,
which involves Dedekind-Rademacher sums, and the reciprocity law for these
sums.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 14:57:15 GMT""},{""version"":""v2"",""created"":""Sun, 2 Jan 2005 00:58:14 GMT""}]","2007-05-23"
"math/0305421","Matthias Beck","Matthias Beck, Sinai Robins, and Shelemyahu Zacks","Higher-dimensional Dedekind sums and their bounds arising from the
  discrete diagonal of the n-cube","24 pages, 8 figures","Adv. Appl. Math. 36, no. 1 (2006), 1-29.",,,"math.NT",,"  Higher-dimensional Dedekind sums are defined as a generalization of a recent
1-dimensional probability model of Dilcher and Girstmair to a d-dimensional
cube. The analysis of the frequency distribution of marked lattice points leads
to new formulae in certain special cases, and to new bounds for the classical
Dedekind sums. Upper bounds for the generalized Dedekind sums are defined in
terms of 1-dimensional moments. In the classical two-dimensional case, the
ratio of these sums to their upper bounds are cosines of angles between certain
vectors of n-dimensional cones, conjectured to have a largest spacial angle of
pi/6.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 15:10:38 GMT""}]","2007-05-23"
"nlin/0305057","Fritz Gesztesy","Fritz Gesztesy, Karl Unterkofler, and Rudi Weikard","An Explicit Characterization of Calogero--Moser Systems","LaTeX, 52 pages",,,,"nlin.SI",,"  Combining theorems of Halphen, Floquet, and Picard and a Frobenius type
analysis, we characterize rational, meromorphic simply periodic, and elliptic
KdV potentials. In particular, we explicitly describe the proper extension of
the Calogero--Moser locus associated with these three classes of
algebro-geometric solutions of the KdV hierarchy with special emphasis on the
case of multiple collisions between the poles of solutions.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 01:59:18 GMT""}]","2007-05-23"
"nucl-ex/0305031","Inti Lehmann","S. Barsov, I. Lehmann, R. Schleichert, C. Wilkin, M. Buescher, S.
  Dymov, Ye. Golubeva, M. Hartmann, V. Hejny, A. Kacharava, I. Keshelashvili,
  A. Khoukaz, V. Komarov, L. Kondratyuk, N. Lang, G. Macharashvili, T.
  Mersmann, S. Merzliakov, A. Mussgiller, M. Nioradze, A. Petrus, H. Stroeher,
  Y. Uzikov, B. Zalikhanov","Near-threshold production of omega mesons in the pn -> d omega reaction","7 pages, 8 figures; second approach to describe the background has
  been added; results changed insignificantly, EPJ in press","Eur.Phys.J.A21:521-527,2004","10.1140/epja/i2003-10220-2",,"nucl-ex",,"  The first measurement of the p n -> d omega total cross section has been
achieved at mean excess energies of Q = 28 and 57 MeV by using a deuterium
cluster-jet target. The momentum of the fast deuteron was measured in the ANKE
spectrometer at COSY-Juelich and that of the slow ""spectator"" proton p(sp) from
the p d -> p(sp) d omega reaction in a silicon telescope placed close to the
target. The cross sections lie above those measured for p p -> p p omega but
seem to be below theoretical predictions.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 16:23:30 GMT""},{""version"":""v2"",""created"":""Thu, 17 Jun 2004 08:49:12 GMT""}]","2008-11-26"
"nucl-ex/0305032","Edward J. Stephenson","E. J. Stephenson, A. D. Bacher, C. E. Allgower, A. Gardestig, C.
  Lavelle, G. A. Miller, H. Nann, J. Olmsted, P. V. Pancella, M. A. Pickar, J.
  Rapaport, T. Rinckel, A. Smith, H. M. Spinka, and U. van Kolck","Observation of the Charge Symmetry Breaking d + d -> 4He + pi0 Reaction
  Near Threshold","7 pages, 2 figures, plain TeX","Phys.Rev.Lett. 91 (2003) 142302","10.1103/PhysRevLett.91.142302",,"nucl-ex",,"  We report the first observation of the charge symmetry breaking d + d -> 4He
+ pi0 reaction near threshold at the Indiana University Cyclotron Facility.
Kinematic reconstruction permitted the separation of 4He + pi0 events from
double radiative capture 4He + gamma + gamma events. We measured total cross
sections for neutron pion production of 12.7 +- 2.2 pb at 228.5 MeV and 15.1 +-
3.1 pb at 231.8 MeV. The uncertainty is dominated by statistical errors.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 20:22:01 GMT""}]","2009-11-10"
"nucl-ex/0305033","Giuseppe Eugenio Bruno","G.E. Bruno (for the NA57 Collaboration)","New results from the NA57 experiment","8 pages, 3 figures, contribution to the proceedings of The XXXVIIIth
  Rencontres de Moriond ""QCD and High Energy Hadronic Interactions""",,,,"nucl-ex",,"  We report results from the experiment NA57 at CERN SPS on hyperon production
at midrapidity in Pb-Pb collisions at 158 $A$ GeV/$c$ and 40 $A$ GeV/$c$.
$\Lambda$, $\Xi$ and $\Omega$ yields are compared with those from the STAR
experiment at the higher energy of the BNL RHIC. $\Lambda$, $\Xi$, $\Omega$\
and preliminary $K_S^0$ transverse mass spectra are presented and interpreted
within the framework of a hydro-dynamical blast wave model.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 12:09:59 GMT""},{""version"":""v2"",""created"":""Thu, 10 Jul 2003 09:58:36 GMT""}]","2019-08-20"
"nucl-ex/0305034","Patricia Fachini","P. Fachini (for the STAR Collaboration)","$\rho(770)^0$ and $f_{0}(980)$ Production in Au+Au and pp Collisions at
  $\sqrt{s_{NN}}$ = 200 GeV","6 pages, 4 figures, proceedings of Strange Quarks in Matter
  (SQM2003), Atlantic Beach, USA, to be published in J. Phys. G","J.Phys.G30:S565-S570,2004","10.1088/0954-3899/30/1/069",,"nucl-ex",,"  Preliminary results on $\rho(770)^0$ and $f_{0}(980)$ production at
mid-rapidity using the mixed-event technique are presented. The $\rho^0$ and
$f_0$ measurements via their hadronic decay channel in minimum bias pp and
peripheral Au+Au collisions at $\sqrt{s_{NN}}$ = 200 GeV were performed using
the STAR detector at RHIC. This is the first direct measurement of $\rho^0(770)
\to \pi^+\pi^-$ and $f_0(980) \to \pi^+\pi^-$ in heavy-ion collisions. The
$\rho^0$ mass is transverse momentum dependent and significantly shifted in
minimum bias pp and peripheral Au+Au interactions. The modifications of masses,
widths and line shapes of short-lived resonances due to phase space and
dynamical effects are discussed. The $\rho^0/\pi^-$ and the $f_0/\pi^-$ ratios
are compared to measurements in pp and e$^{+}$e$^{-}$ interactions at various
energies.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 15:51:07 GMT""},{""version"":""v2"",""created"":""Sat, 14 Jun 2003 00:22:29 GMT""}]","2019-08-14"
"nucl-th/0305083","Anthony J. Baltz","Anthony J. Baltz (BNL)","Coulomb corrections in the calculation of ultrarelativistic heavy ion
  production of continuum e+ e- pairs","16 pages, latex, 3 eps figures","Phys.Rev.C68:034906,2003","10.1103/PhysRevC.68.034906",,"nucl-th hep-ph physics.atom-ph",,"  Coulomb corrections to perturbation theory for producing electron-positron
pairs in ultrarelativistic heavy ion collisions are considered in a
part-analytical, part-numerical approach. Production probabilities are reduced
from perturbation theory with increasing charge of the colliding heavy ions, as
has been previously argued in the literature. It is shown here that the
reduction from perturbation theory comes from the appropriate physical spatial
cutoff of the electromagnetic potentials arising from the colliding
ultrarelativistic heavy ions.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 20:28:14 GMT""}]","2010-11-15"
"nucl-th/0305087","Mitsuru Tohyama","M. Tohyama and P. Schuck","Spurious modes in extended RPA theories","15 pages","Eur.Phys.J. A19 (2004) 203-213","10.1140/epja/i2003-10110-7",,"nucl-th",,"  Necessary conditions that the spurious state associated with the
translational motion and its double-phonon state have zero excitation energy in
extended RPA (ERPA) theories which include both one-body and two-body
amplitudes are investigated using the small amplitude limit of the
time-dependent density-matrix theory (STDDM). STDDM provides us with a quite
general form of ERPA as compared with other similar theories in the sense that
all components of one-body and two-body amplitudes are taken into account. Two
conditions are found necessary to guarantee the above property of the single
and double spurious states: The first is that no truncation in the
single-particle space should be made. This condition is necessary for the
closure relation to be used and is common for the single and double spurious
states. The second depends on the mode. For the single spurious state all
components of the one-body amplitudes must be included, and for the double
spurious state all components of one-body and two-body amplitudes have to be
included. It is also shown that the Kohn theorem and the continuity equations
for transition densities and currents hold under the same conditions as the
spurious states. ERPA theories formulated using the Hartree-Fock ground state
have a non-hermiticity problem. A method for formulating ERPA with hermiticity
is also proposed using the time-dependent density-matrix formalism.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 03:39:30 GMT""}]","2009-11-10"
"nucl-th/0305088","Mitsuru Tohyama","M. Tohyama and P. Schuck","Eigenstates of the time-dependent density-matrix theory","8 pages, 1 figure",,"10.1140/epja/i2003-10145-8",,"nucl-th",,"  An extended time-dependent Hartree-Fock theory, known as the time-dependent
density-matrix theory (TDDM), is solved as a time-independent eigenvalue
problem for low-lying $2^+$ states in $^{24}$O to understand the foundation of
the rather successful time-dependent approach. It is found that the calculated
strength distribution of the $2^+$ states has physically reasonable behavior
and that the strength function is practically positive definite though the
non-hermitian hamiltonian matrix obtained from TDDM does not guarantee it. A
relation to an extended RPA theory with hermiticity is also investigated. It is
found that the density-matrix formalism is a good approximation to the
hermitian extended RPA theory.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 03:47:22 GMT""}]","2009-11-10"
"nucl-th/0305089","Mannque Rho","G.E. Brown and Mannque Rho","Double Decimation and Sliding Vacua in the Nuclear Many-Body System","Latex, 9 figures; based on version prepared for Phys. Rep","Phys.Rept. 396 (2004) 1-39","10.1016/j.physrep.2004.02.002",,"nucl-th hep-ph",,"  We propose that effective field theories for nuclei and nuclear matter
comprise of ""double decimation"": (1) the chiral symmetry decimation (CSD) and
(2) Fermi liquid decimation (FLD). The Brown-Rho scaling recently identified as
the parametric dependence intrinsic in the ""vector manifestation"" of hidden
local symmetry theory of Harada and Yamawaki results from the first decimation.
This scaling governs dynamics down to the scale at which the Fermi surface is
formed as a quantum critical phenomenon. The next decimation to the top of the
Fermi sea where standard nuclear physics is operative makes up the Fermi liquid
decimation. Thus nuclear dynamics is dictated by two fixed points, namely, the
vector manifestation fixed point and the Fermi liquid fixed point. It has been
a prevalent practice in nuclear physics community to proceed with the second
decimation only, assuming density independent masses. We show why most nuclear
phenomena can be reproduced by theories using either density-independent, or
density-dependent masses, a grand conspiracy of nature that is an aspect that
could be tied to the Cheshire-Cat phenomenon in hadron physics. We identify
what is left out in the Fermi liquid decimation that does not incorporate the
CSD. Experiments such as the dilepton production in relativistic heavy ion
reactions, which are specifically designed to observe effects of dropping
masses, could exhibit large effects from the reduced masses. However they are
compounded with effects that are not directly tied to chiral symmetry. We
discuss a recent STAR/RHIC observation where BR scaling can be singled out in a
pristine environment.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 08:05:46 GMT""}]","2009-11-10"
"physics/0305121","Patrick Ilg","Patrick Ilg, Iliya V. Karlin, and Alexander N. Gorban","Generalized Additive Entropies in Fully Developed Turbulence","9 pages, 3 figures",,,,"physics.flu-dyn cond-mat.mtrl-sci math-ph math.MP",,"  We explore a possible application of the additive generalization of the
Boltzmann-Gibbs-Shannon entropy proposed in [A.N. Gorban, I.V. Karlin, Phys.
Rev. E, 67:016104 (2003)] to fully developed turbulence. The predicted
probability distribution functions are compared with those obtained from
Tsallis' entropy and with experimental data. Consequences of the existence of
hidden subsystems are illustrated.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 22:17:59 GMT""}]","2007-05-23"
"physics/0305122","Carlo Giunti","C. Giunti","Lorentz Invariance of Neutrino Oscillations","5 pages","Am.J.Phys. 72 (2004) 699-700","10.1119/1.1643372",,"physics.ed-ph astro-ph hep-ex hep-ph",,"  It is shown that, in spite of the appearances, the standard expression for
the oscillation probability of ultrarelativistic neutrinos is Lorentz
invariant.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 02:17:28 GMT""}]","2009-11-10"
