"astro-ph/0310780","Stanislav Boldyrev","Stanislav Boldyrev and Fausto Cattaneo (U. Chicago)","On magnetic field generation in Kolmogorov turbulence","4 pages, revised, new material added","Phys.Rev.Lett. 92 (2004) 144501","10.1103/PhysRevLett.92.144501",,"astro-ph physics.flu-dyn",,"  We analyze the initial, kinematic stage of magnetic field evolution in an
isotropic and homogeneous turbulent conducting fluid with a rough velocity
field, v(l) ~ l^alpha, alpha<1. We propose that in the limit of small magnetic
Prandtl number, i.e. when ohmic resistivity is much larger than viscosity, the
smaller the roughness exponent, alpha, the larger the magnetic Reynolds number
that is needed to excite magnetic fluctuations. This implies that numerical or
experimental investigations of magnetohydrodynamic turbulence with small
Prandtl numbers need to achieve extremely high resolution in order to describe
magnetic phenomena adequately.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 18:39:56 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 2003 18:07:55 GMT""}]","2007-05-23"
"math-ph/0310063","Oleg Pavlovsky","Oleg Zubelevich","On analytic solutions to NSE in 3-D torus","11 pages, AMS-LaTeX",,,,"math-ph math.MP",,"  We consider NSE with $H^1$-initial conditions on the 3-dimensional torus and
prove that there exists a solution that is analytic in all variables.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 15:22:32 GMT""}]","2007-05-23"
"math/0310439","JeongHyeong Park","Peter B. Gilkey, Hong-Jong Kim, and JeongHyeong Park","Eigenforms of the Laplacian for Riemannian V-submersions","13 pages",,,,"math.DG math-ph math.MP",,"  Let p: Z -> Y be a Riemannian V-submersion of compact V-manifolds. We study
when the pull-back of an eigenform of the Laplacian on Y is an eigenform of the
Laplacian on Z, and when the associated eigenvalue can change.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 16:13:47 GMT""}]","2007-05-23"
"math/0310440","Pietro Poggi-Corradini","Filippo Bracci and Pietro Poggi-Corradini","On Valiron's Theorem","20 pages",,,,"math.CV",,"  This is a survey on Valiron's Theorem about the convergence properties of
orbits of analytic self-maps of the disk of hyperbolic type and related
questions in one and several variables.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 16:18:45 GMT""}]","2007-05-23"
"math/0310441","Vladimir Kostov","Vladimir Petrov Kostov","On the Deligne-Simpson problem and its weak version","22 pages","Bulletin des Sciences Mathematiques 128/2 (2004) 105-125",,,"math.AG math.RT",,"  We consider the {\em Deligne-Simpson problem (DSP) (resp. the weak DSP): Give
necessary and sufficient conditions upon the choice of the $p+1$ conjugacy
classes $c_j\subset gl(n,{\bf C})$ or $C_j\subset GL(n,{\bf C})$ so that there
exist irreducible $(p+1)$-tuples (resp. $(p+1)$-tuples with trivial
centralizers) of matrices $A_j\in c_j$ with zero sum or of matrices $M_j\in
C_j$ whose product is $I$.} The matrices $A_j$ (resp. $M_j$) are interpreted as
matrices-residua of Fuchsian linear systems (resp. as monodromy matrices of
regular linear systems) of differential equations with complex time. In the
paper we give sufficient conditions for solvability of the DSP in the case when
one of the matrices is with distinct eigenvalues.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 16:27:19 GMT""}]","2007-05-23"
"math/0310442","Yuan-Pin Lee","Y.-P. Lee","Witten's conjecture and Virasoro conjecture for genus up to two","submitted to proceedings of conference ""Gromov-Witten Theory of Spin
  Curves and Orbifolds"". Final version",,,,"math.AG",,"  This is an expository paper based on the results in [12] and [16]. The main
goal is to prove the following two conjectures for genus up to two.
  (1) Witten's conjecture on the relations between higher spin curves and
Gelfand-Dickey Hierarchies.
  (2) Virasoro conjecture for conformal semisimple Frobenius manifolds.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 17:22:55 GMT""},{""version"":""v2"",""created"":""Wed, 5 Nov 2003 18:00:07 GMT""},{""version"":""v3"",""created"":""Fri, 7 Nov 2003 07:26:51 GMT""},{""version"":""v4"",""created"":""Thu, 4 Mar 2004 18:25:33 GMT""},{""version"":""v5"",""created"":""Mon, 24 May 2004 14:44:49 GMT""}]","2007-05-23"
"math/0310443","Petr Chladek","P. Chladek","The functional formulation of second-order ordinary differential
  equations","8 pages, Latex",,,,"math.CA math.DS",,"  In this paper, the necessary and sufficient conditions in order that a smooth
mapping F be a dependence of a complete solution of some second-order ordinary
differential equation on Neumann conditions are deduced. These necessary and
sufficient conditions consist of functional equations for F and of a smooth
extensibility condition. Illustrative examples are presented to demonstrate
this result. In these examples, the mentioned functional equations for F are
related to the functional equations for geodesics, to Jensen's equation, to the
functional equations for conic sections and to Neuman's result for linear
ordinary differential equations.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 17:19:11 GMT""}]","2007-05-23"
"math/0310444","Francis Edward Su","Timothy Prescott and Francis Edward Su","A Constructive Proof of Ky Fan's Generalization of Tucker's Lemma","related work at http://www.math.hmc.edu/~su/papers.html","J. Combin. Theory Ser. A 111 (2005), 257--265",,,"math.CO math.AT",,"  We present a constructive proof of Ky Fan's combinatorial lemma concerning
labellings of triangulated spheres. Our construction works for triangulations
of $S^n$ that contain a flag of hemispheres. As a consequence, we produce a
constructive proof of Tucker's lemma that holds for a larger class of
triangulations than previous constructive proofs.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 19:11:15 GMT""}]","2007-05-23"
"math/0310445","Marius Crainic","Henrique Bursztyn and Marius Crainic","Dirac structures, moment maps and quasi-Poisson manifolds","36 pages. Typos and signs fixed. To appear in Progress in
  Mathematics, Festschrift in honor of Alan Weinstein, Birkauser",,,,"math.DG math-ph math.MP math.SG",,"  We extend the correspondence between Poisson maps and actions of symplectic
groupoids, which generalizes the one between momentum maps and hamiltonian
actions, to the realm of Dirac geometry. As an example, we show how hamiltonian
quasi-Poisson manifolds fit into this framework by constructing an
``inversion'' procedure relating quasi-Poisson bivectors to twisted Dirac
structures.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 19:19:48 GMT""},{""version"":""v2"",""created"":""Sat, 6 Mar 2004 01:05:14 GMT""},{""version"":""v3"",""created"":""Tue, 19 Oct 2004 17:28:37 GMT""}]","2007-05-23"
"math/0310446","Vladislav Goldberg V.","Maks A. Akivis and Vladislav V. Goldberg","Varieties with Degenerate Gauss Maps with Multiple Foci and Twisted
  Cones","17 pages","Izv. Vyssh. Uchebn. Zaved. Mat., 2003 no. 11 3-14; English transl:
  Russian Math. (Iz. VUZ), 47 (2003) no. 11 1-11.",,,"math.DG",,"  The authors study in detail new types of varieties with degenerate Gauss
maps: varieties with multiple foci and their particular case, the so-called
twisted cones. They prove an existence theorem for twisted cones and describe
their structure.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 21:16:53 GMT""}]","2016-09-07"
"math/0310447","Vladislav Goldberg V.","Vladislav V. Goldberg","Maximum rank webs are not necessarily almost Grassmannizable","11 pages","Hokkaido Math. J., 33 (2004) no. 3 569-583",,,"math.DG",,"  We present an example of a 6-web W (6, 3, 2) of codimension two and of
maximum rank on a six-dimensional manifold which is not almost Grassmannizable.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 21:28:43 GMT""}]","2007-05-23"
"math/0310448","Paul Roberts","Paul C. Roberts","Cycles and Commutative Algebra",,,,,"math.AC math.AG",,"  We describe several applications of the theory of cycles to questions in
Commutative Algebra. The main topic is the use of the theory of local Chern
characters to answer some questions on modules of finite homological dimension.
This paper is based on talks given at the conference on cycles in Morelia,
Mexico in June 2003.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 21:43:23 GMT""}]","2007-05-23"
"math/0310449","Dave Auckly","Dave Auckly","Solving the quartic with a pencil","final version","American Math Monthly 114:1 (2007) 29--39",,,"math.HO",,"  This expository paper presents the general solution of a quartic equation as
a jump off point to introduce Lefschetz fibrations. It should be accessible to
a broad audience.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 21:57:14 GMT""},{""version"":""v2"",""created"":""Fri, 26 Jan 2007 18:16:57 GMT""}]","2007-05-23"
"math/0310450","Geometry and Topology Journal","Michael Usher","The Gromov invariant and the Donaldson-Smith standard surface count","Published by Geometry and Topology at
  http://www.maths.warwick.ac.uk/gt/GTVol8/paper14.abs.html","Geom. Topol. 8 (2004) 565-610","10.2140/gt.2004.8.565",,"math.SG",,"  Simon Donaldson and Ivan Smith recently studied symplectic surfaces in
symplectic 4-manifolds X by introducing an invariant DS associated to any
Lefschetz fibration on blowups of X which counts holomorphic sections of a
relative Hilbert scheme that is constructed from the fibration. Smith has shown
that DS satisfies a duality relation identical to that satisfied by the Gromov
invariant Gr introduced by Clifford Taubes, which led Smith to conjecture that
DS=Gr provided that the fibration has high enough degree. This paper proves
that conjecture. The crucial technical ingredient is an argument which allows
us to work with curves C in the blown-up 4-manifold that are made holomorphic
by an almost complex structure which is integrable near C and with respect to
which the fibration is a pseudoholomorphic map.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 01:53:36 GMT""},{""version"":""v2"",""created"":""Tue, 18 Nov 2003 03:04:39 GMT""},{""version"":""v3"",""created"":""Wed, 17 Dec 2003 20:03:25 GMT""},{""version"":""v4"",""created"":""Tue, 6 Apr 2004 19:33:58 GMT""}]","2014-11-11"
"math/0310451","Alexander Verbovetsky","Paul Kersten, Iosif Krasil'shchik, Alexander Verbovetsky","On the integrability conditions for some structures related to evolution
  differential equations","5 pages, AMS-LaTeX. v2: minor corrections","Acta Appl. Math. 83 (2004), 167-173",,"DIPS-7/2003","math.DG hep-th math-ph math.AP math.MP nlin.SI",,"  Using the result by D.Gessler (Differential Geom. Appl. 7 (1997) 303-324,
DIPS-9/98, http://diffiety.ac.ru/preprint/98/09_98abs.htm), we show that any
invariant variational bivector (resp., variational 2-form) on an evolution
equation with nondegenerate right-hand side is Hamiltonian (resp., symplectic).
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 04:15:54 GMT""},{""version"":""v2"",""created"":""Fri, 23 Apr 2004 23:49:43 GMT""}]","2007-05-23"
"math/0310452","Lingaraj Sahu","Debashish Goswami, Lingaraj Sahu and Kalyan B. Sinha","Dilation of a class of quantum dynamical semigroups with unbounded
  generator on UHF algebras",,,,,"math.OA math-ph math.MP",,"  Evans-Hudson flows are constructed for a class of quantum dynamical
semigroups with unbounded generator on UHF algebras, which appeared in
\cite{Ma}. It is shown that these flows are unital and covariant. Ergodicity of
the flows for the semigroups associated with partial states is also discussed.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 05:57:14 GMT""}]","2007-05-23"
"math/0310453","Yoshimichi Ueda","Fumio Hiai, Denes Petz, and Yoshimichi Ueda","Inequalities related to free entropy derived from random matrix
  approximation",,,,,"math.OA math.PR",,"  Biane proved the free analog of the logarithmic Sobolev inequality for
probability measures on the real line by means of random matrix approximation
procedure. We show that the same method can be applied to reprove Biane and
Voiculescu's free analog of Talagrand's transportation cost inequality for
measures on the real line. Furthermore, we prove the free analogs of the
logarithmic Sobolev inequality and the transportation cost inequality for
measures on 1-dimensional torus as well by extending the method to special
unitary random matrices.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 06:44:40 GMT""}]","2007-05-23"
"math/0310454","Sandra Marcello","Sandra Marcello","Sur des invariants g\'eom\'etriques associ\'es aux automorphismes du
  plan affine",,,,,"math.AG",,"  We associate to each automorphism of the plane, a geometric construction with
some properties, it is the {\it{canonical resolution}}.
  We study the geometry of the canonical resolution, we deduce from it an upper
bound for a geometric invariant (the ample index) linked to an automorphism of
the affine plane and we link the structure of the effective cone of the surface
we get to values of another geometric invariant (the effective index).
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 09:40:00 GMT""}]","2016-09-07"
"math/0310455","C. T. J. Dodson","C.T.J. Dodson and G.N. Galanis","Second order tangent bundles of infinite dimensional manifolds","8 pages",,"10.1016/j.geomphys.2004.02.005",,"math.DG",,"  The second order tangent bundle $T^{2}M$ of a smooth manifold $M$ consists of
the equivalent classes of curves on $M$ that agree up to their acceleration. It
is known that in the case of a finite $n$-dimensional manifold $M$, $T^{2}M$
becomes a vector bundle over $M$ if and only if $M$ is endowed with a linear
connection. Here we extend this result to $M$ modeled on an arbitrarily chosen
Banach space and more generally to those Fr\'{e}chet manifolds which can be
obtained as projective limits of Banach manifolds. The result may have
application in the study of infinite-dimensional dynamical systems.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 10:19:24 GMT""}]","2009-11-10"
"math/0310456","Sauvageot Orin","Orin R. Sauvageot","A simplicial model for the Hopf map",,,,,"math.AT",,"  We give an explicit simplicial model for the Hopf map S^3 -> S^2. For this
purpose, we construct a model of S^3 as a principal twisted cartesian product K
x_{eta} S^2, where K is a simplicial model for S^1 acting by left
multiplication on itself, S^2 is given the simplest simplicial model and the
twisting map is eta:(S^2)_n -> (K)_{n-1}. We construct a Kan complex for the
simplicial model K of S^1. The simplicial model for the Hopf map is then the
projection K x_{eta} S^2 -> S^2.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 11:01:17 GMT""}]","2007-05-23"
"math/0310457","St\'ephane Launois","S. Launois","Rank t H-primes in quantum matrices","18 pages",,,,"math.RA math.NT math.QA",,"  Let K be a (commutative) field and consider a nonzero element q in K which is
not a root of unity. Goodearl and Lenagan have shown that the number of
H-primes in the algebra R of m times p quantum matrices which contain all (t+1)
times (t+1) quantum minors but not all t times t quantum minors is a perfect
square. The aim of this paper is to make precise their result: we prove that
this number is equal to (t!)^2 S(n+1,t+1)^2, where S(n+1,t+1) denotes the
Stirling number of second kind associated to n+1 and t+1. This result was
conjectured by Goodearl, Lenagan and McCammond. The proof involves some closed
formulas for the poly-Bernoulli numbers that were established by Arakawa-Kaneko
and Kaneko.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 12:43:51 GMT""}]","2007-05-23"
"math/0310458","Chbili Nafaa","Nafaa Chbili","A new criterion for knots with free periods","14 pages, 1 figure",,,,"math.GT",,"  Let $p\geq 2$ and $q\neq 0$ an integer. A knot $K$ in the three-sphere is
said to be a $(p,q)$-lens knot if and only if it covers a link in the lens
space $L(p,q)$. In this paper, we use the second coefficient of the HOMFLY
polynomial to provide a necessary condition for a knot to be a $(p,q)$-lens
knot. As an application, it is shown that this criterion rules out the
possibility of being $(5,1)$-lens for 80 among the 84 knots with less than 9
crossings.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 12:51:09 GMT""}]","2007-05-23"
"math/0310459","Chbili Nafaa","Nafaa Chbili","Quantum invariants and finite group actions on three-manifolds","16 pages 4 figures",,,,"math.GT",,"  A 3-manifold $M$ is said to be $p$-periodic ($p\geq 2$ an integer) if and
only if the finite cyclic group of order $p$ acts on $M$ with a circle as the
set of fixed points. This paper provides a criterion for periodicity of
rational homology three-spheres. Namely, we give a necessary condition for a
rational homology three-sphere to be periodic with a prime period. This
condition is given in terms of the quantum SU(3) invariant. We also discuss
similar results for the Murakami-Ohtsuki-Okada invariant.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 13:48:01 GMT""}]","2007-05-23"
"math/0310460","Dominic Joyce","Dominic Joyce","Singularities of special Lagrangian submanifolds","29 pages. To appear in ""Different faces of Geometry"", International
  Mathematical Series",,,,"math.DG",,"  We survey what is known about singularities of special Lagrangian
submanifolds (SL m-folds) in (almost) Calabi-Yau manifolds. The bulk of the
paper summarizes the author's five papers math.DG/0211294, math.DG/0211295,
math.DG/0302355, math.DG/0302356, math.DG/0303272 on SL m-folds X with isolated
conical singularities. That is, near each singular point x, X is modelled on an
SL cone C in C^m with isolated singularity at 0. We also discuss directions for
future research, and give a list of open problems.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 15:11:15 GMT""}]","2007-05-23"
"math/0310461","David Callan","David Callan","A uniformly distributed parameter on a class of lattice paths","LateX 8 pages",,,,"math.CO",,"  Let G_n denote the set of lattice paths from (0,0) to (n,n) with steps of the
form (i,j) where i and j are nonnegative integers, not both 0. Let D_n denote
the set of paths in G_n with steps restricted to (1,0), (0,1), (1,1), so-called
Delannoy paths. Stanley has shown that | G_n | = 2^(n-1) | D_n | and Sulanke
has given a bijective proof. Here we give a simple parameter on G_n that is
uniformly distributed over the 2^(n-1) subsets of [n-1] = {1,2,...,n-1} and
takes the value [n-1] precisely on the Delannoy paths.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 15:16:37 GMT""}]","2007-05-23"
"nlin/0310042","Michal Zochowski","Michal Zochowski and Rhonda Dzakpasu","Measurement of synchronization properties in systems with different
  excitation levels","10 pages, 7 figures",,,,"nlin.CD q-bio.NC",,"  We devised a measure based on the distributions of relative event timings of
two coupled units. The measure dynamically evaluates temporal interdependencies
between the two coupled units. Using this we show that even in the event of
symmetrical coupling, non-identical units (having different control parameters)
have small but persistent shifts in their event timings that change
dramatically with the relative properties of their internal trajectories. We
link that finding with the activity dependent synaptic modification in the
brain showing that internally or externally driven excitation levels of the
neuron may determine direction of information processing in a network.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 21:00:53 GMT""}]","2007-05-23"
"nlin/0310043","Faustino Palmero","J.C. Eilbeck and F. Palmero","Quantum breathers in an attractive fermionic Hubbard model","16 pages, 9 figures",,,,"nlin.PS",,"  In one-dimensional translationally invariant anharmonic lattices, an extended
Bloch state with two or more strongly correlated particles is usually called a
quantum breather. Here we study an attractive fermionic Hubbard model with two
kind of particles of opposite spin. We discuss the existence of breathers, and
several effects that break the translational symmetry of the system and
localize the breather in the lattice.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 11:21:53 GMT""}]","2007-05-23"
"nucl-th/0310077","Yamada Taiichi","Taiichi Yamada and Peter Schuck","Dilute Multi Alpha Cluster States in Nuclei","44 pages, 8 figures","Phys.Rev. C69 (2004) 024309","10.1103/PhysRevC.69.024309",,"nucl-th",,"  Dilute multi $\alpha$ cluster condensed states with spherical and axially
deformed shapes are studied with the Gross-Pitaevskii equation and Hill-Wheeler
equation, where the $\alpha$ cluster is treated as a structureless boson.
Applications to self-conjugate $4N$ nuclei show that the dilute $N\alpha$
states of $^{12}$C to $^{40}$Ca with $J^\pi=0^+$ appear in the energy region
from threshold up to about 20 MeV, and the critical number of $\alpha$ bosons
that the dilute $N\alpha$ system can sustain as a self-bound nucleus is
estimated roughly to be $N_{cr}\sim10$. We discuss the characteristics of the
dilute $N\alpha$ states with emphasis on the $N$ dependence of their energies
and rms radii.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 07:23:15 GMT""}]","2009-11-10"
"nucl-th/0310078","Christian Fuchs","Amand Faessler, C. Fuchs, M.I. Krivoruchenko, B.V. Martemyanov","Exclusive $\phi$ production in proton-proton collisions in the resonance
  model","7 pages, 1 figure, to appear in the brief report section of PRC","Phys.Rev. C68 (2003) 068201","10.1103/PhysRevC.68.068201",,"nucl-th",,"  The exclusive $\phi$ meson production in proton-proton reactions is
calculated within the resonance model. The considered model was already
successfully applied to the description of $\pi$, $\eta$, $\rho$, $\omega$,
$\pi\pi$ production in proton-proton collisions. The only new parameter
entering into the model is the $\omega-\phi$ mixing angle $\theta_{mix}$ which
is taken equal to $\theta_{mix} \approx 3.7^o$.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 08:55:13 GMT""}]","2009-11-10"
"nucl-th/0310079","Alexander Sibirtsev","A. Sibirtsev, J. Haidenbauer, C. Hanhart, J.A. Niskanen (IKP FZ
  Juelich and University of Helsinki)","The $\eta{-}^3$He scattering length revisited","8 pages, 9 figures, accepted for publication in Eur. Phys. J. A","Eur.Phys.J. A22 (2004) 495-502","10.1140/epja/i2003-10239-3","FZJ-IKP(TH)-2003-14","nucl-th",,"  The possible existence of $\eta$-mesic nuclei poses an interesting and still
open issue of research. Since the occurence of such $\eta$-nucleus bound states
is reflected in the corresponding $\eta$-nucleus scattering length, we
critically review the present knowledge for the $\eta$$^3$He system.
Specifically, we scrutinize the available experimental information for the
reaction $p{+}d \to \eta {+} ^3{\rm He}$ which is commonly used to extract the
$\eta$$^3$He scattering length. We point out several striking discrepancies
between the various measurements. Subject to those inconsistencies we deduce a
value of $a{=}|4.3{\pm}0.3|{+}i(0.5{\pm}0.5)$ fm.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 15:56:59 GMT""},{""version"":""v2"",""created"":""Sat, 3 Jul 2004 11:24:25 GMT""}]","2009-11-10"
"physics/0310140","Thomas Jordan","Thomas F. Jordan","Steppingstones in Hamiltonian dynamics","15 pages, 2 figures, submitted to American Journal of Physics,
  refereed, revised, recommended for publication by referee","Am. J. Phys. 72, 1095 (2004)","10.1119/1.1737394",,"physics.ed-ph physics.class-ph",,"  Easy steps through essential Hamiltonian dynamics are outlined, from
necessary definitions of Poisson brackets and canonical transformations, to a
quick proof that Hamiltonian evolution is made by canonical transformations,
the quickest proof of Liouville's theorem, and on to Poincare-Cartan integral
invariants and completely integrable dynamics, making room, providing tools,
and setting the stage for more recent developments.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 20:00:21 GMT""},{""version"":""v2"",""created"":""Tue, 9 Dec 2003 20:34:32 GMT""}]","2009-11-10"
"physics/0310141","Walter R. Johnson","W. R. Johnson, V. A. Dzuba, U. I. Safronova, and M. S. Safronova","Finite-field evaluation of the Lennard-Jones atom-wall interaction
  constant C_3 for alkali-metal atoms","6 pages, 6 tables",,"10.1103/PhysRevA.69.022508",,"physics.atom-ph",,"  A finite-field scaling method is applied to evaluate the Lennard-Jones
interaction constant C_3 for alkali-metal atoms. The calculations are based on
the relativistic single-double (SD) approximation in which single and double
excitations of Dirac-Hartree-Fock wave functions are included to all orders in
perturbation theory.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 21:00:58 GMT""}]","2009-11-10"
"physics/0310142","Yukio Saito","Yukio Saito and Hiroyuki Hyuga","Complete homochirality induced by the nonlinear autocatalysis and
  recycling","4 pages, 2 figures","J.Phys.Soc.Jap.73:33-35,2004","10.1143/JPSJ.73.33",,"physics.chem-ph astro-ph physics.bio-ph q-bio.PE",,"  A nonlinear autocatalysis of a chiral substance is shown to achieve
homochirality in a closed system, if the back-reaction is included. Asymmetry
in the concentration of two enantiomers or the enantiometric excess increases
due to the nonlinear autocatalysis. Furthermore, when the back-reaction is
taken into account, the reactant supplied by the decomposition of the
enantiomers is recycled to produce more and more the dominant one, and
eventually the homochirality is established.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 07:59:15 GMT""}]","2008-11-26"
"physics/0310143","Simon Gardiner","R. Bach, K. Burnett, M.B. d'Arcy, and S.A. Gardiner","Quantum Mechanical Cumulant Dynamics near Stable Periodic Orbits in
  Phase Space: Application to the classical-like dynamics of quantum
  accelerator modes","20 pages, 4 figures. Very substantially revised and expanded version","Phys. Rev. A 71, 033417 (2005)","10.1103/PhysRevA.71.033417",,"physics.atom-ph nlin.CD physics.gen-ph",,"  We formulate a general method for the study of semiclassical-like dynamics in
stable regions of a mixed phase-space, in order to theoretically study the
dynamics of quantum accelerator modes. In the simplest case, this involves
determining solutions, which are stable when constrained to remain pure-state
Gaussian wavepackets, and then propagating them using a cumulant-based
formalism. Using this methodology, we study the relative longevity, under
different parameter regimes, of quantum accelerator modes. Within this
attractively simple formalism, we are able to obtain good qualitative agreement
with exact wavefunction dynamics.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 10:12:30 GMT""},{""version"":""v2"",""created"":""Thu, 18 Mar 2004 19:16:00 GMT""},{""version"":""v3"",""created"":""Tue, 20 Apr 2004 20:00:44 GMT""},{""version"":""v4"",""created"":""Tue, 14 Dec 2004 00:19:44 GMT""}]","2007-05-23"
"physics/0310144","Mukul Kabir","Mukul Kabir, Abhijit Mookerjee, A. K. Bhattacharya","Structure and stability of copper clusters : A tight-binding molecular
  dynamics study","RevTeX, 10 Pages, 5 Figures","Physical Review A 69, 043203 (2004)","10.1103/PhysRevA.69.043203",,"physics.atm-clus",,"  In this paper we propose a tight-binding molecular dynamics with parameters
fitted to first-principles calculations on the smaller clusters and with an
environment correction, to be a powerful technique for studying large
transition/noble metal clusters. In particular, the structure and stability of
$Cu_n$ clusters for $n=3-55$ are studied by using this technique. The results
for small $Cu_n$ clusters ($n=3-9$) show good agreement with {\it ab initio}
calculations and available experimental results. In the size range $10\le n \le
55$ most of the clusters adopt icosahedral structure which can be derived from
the 13-atom icosahedron, the polyicosahedral 19-, 23-, and 26-atom clusters and
the 55-atom icosahedron, by adding or removing atoms. However, a local
geometrical change from icosahedral to decahedral structure is observed for $n
= 40-44$ and return to the icosahedral growth pattern is found at $n=45$ which
continues. Electronic ""magic numbers"" ($n=2$, 8, 20, 34, 40) in this regime are
correctly reproduced. Due to electron pairing in HOMOs, even-odd alternation is
found. A sudden loss of even-odd alternation in second difference of cluster
binding energy, HOMO-LUMO gap energy and ionization potential is observed in
the region $n\sim40$ due to structural change there. Interplay between
electronic and geometrical structure is found.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 10:36:55 GMT""}]","2009-11-10"
"physics/0310146","Wolfgang Wenzel","T. Herges and W. Wenzel","In-silico folding of a three helix protein and characterization of its
  free-energy landscape in an all-atom forcefield","5 pages 3 figures, high quality color figures available by request",,,,"physics.bio-ph physics.comp-ph q-bio.BM",,"  We report the reproducible first-principles folding of the 40 amino acid,
three-helix headpiece of the HIV accessory protein in a recently developed
all-atom free-energy forcefield. Six of twenty simulations using an adapted
basin-hopping method converged to better than 3 \AA backbone RMS deviation to
the experimental structure. Using over 60,000 low-energy conformations of this
protein, we constructed a decoy tree that completely characterizes its folding
funnel.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 14:52:53 GMT""}]","2007-05-23"
"q-bio/0310034","Gavin E. Crooks","Gavin E. Crooks, Steven E. Brenner","Protein secondary structure: Entropy, correlations and prediction","8 pages, 5 figures","Bioinformatics 20:1603-1611 (2004)","10.1093/bioinformatics/bth132",,"q-bio.BM",,"  Is protein secondary structure primarily determined by local interactions
between residues closely spaced along the amino acid backbone, or by non-local
tertiary interactions? To answer this question we have measured the entropy
densities of primary structure and secondary structure sequences, and the local
inter-sequence mutual information density. We find that the important
inter-sequence interactions are short ranged, that correlations between
neighboring amino acids are essentially uninformative, and that only 1/4 of the
total information needed to determine the secondary structure is available from
local inter-sequence correlations. Since the remaining information must come
from non-local interactions, this observation supports the view that the
majority of most proteins fold via a cooperative process where secondary and
tertiary structure form concurrently. To provide a more direct comparison to
existing secondary structure prediction methods, we construct a simple hidden
Markov model (HMM) of the sequences. This HMM achieves a prediction accuracy
comparable to other single sequence secondary structure prediction algorithms,
and can extract almost all of the inter-sequence mutual information. This
suggests that these algorithms are almost optimal, and that we should not
expect a dramatic improvement in prediction accuracy. However, local
correlations between secondary and primary structure are probably of
under-appreciated importance in many tertiary structure prediction methods,
such as threading.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 06:48:11 GMT""}]","2007-05-23"
"quant-ph/0310166","Valerio Scarani","Antonio Acin, Nicolas Gisin, Lluis Masanes, Valerio Scarani","Bell's inequalities detect efficient entanglement","9 pages, for the Proceedings of EQIS'03 (Kyoto, Sept. 2003)","Int. J. Quant. Inf. 2, 23 (2004)",,,"quant-ph",,"  We review the status of Bell's inequalities in quantum information, stressing
mainly the links with quantum key distribution and distillation of
entanglement. We also prove that for all the eavesdropping attacks using one
qubit, and for a family of attacks of two qubits, acting on half of a maximally
entangled state of two qubits, the violation of a Bell inequality implies the
possibility of an efficient secret-key extraction.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 16:16:27 GMT""}]","2007-05-23"
