"astro-ph/0306364","Robert J. Scherrer","Casey R. Watson and Robert J. Scherrer","The Evolution of Inverse Power Law Quintessence at Low Redshift","6 pages, 6 figures, new figure added, numerous clarifications","Phys.Rev.D68:123524,2003","10.1103/PhysRevD.68.123524",,"astro-ph gr-qc hep-ph",,"  Quintessence models based on a scalar field, phi, with an inverse power law
potential display simple tracking behavior at early times, when the
quintessence energy density, rho_phi, is sub-dominant. At late times, when
rho_phi becomes comparable to the matter density, the evolution of phi diverges
from its scaling behavior. We calculate the first order departure of phi from
its tracker solution at low redshift. Our results for the evolution of phi,
rho_phi, Omega_phi, and w are suprisingly accurate even down to z=0. We find
that w and Omega_phi are related linearly to first order. We also derive a
semi-analytic expression for w(z) which is accurate to within a few percent.
Our analytic techniques are potentially applicable to any quintessence model in
which the quintessence component comes to dominate at late times.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:12:18 GMT""},{""version"":""v2"",""created"":""Mon, 23 Jun 2003 15:45:22 GMT""},{""version"":""v3"",""created"":""Fri, 19 Sep 2003 20:25:40 GMT""}]","2009-11-10"
"math/0306275","Allen Knutson","Allen Knutson","Some schemes related to the commuting variety","9 pages","J. Algebraic Geom. 14 (2005) 283-294",,,"math.AG",,"  The_commuting variety_ is the pairs of NxN matrices (X,Y) such that XY = YX.
We introduce the_diagonal commutator scheme_, {(X,Y) : XY-YX is diagonal},
which we prove to be a reduced complete intersection, one component of which is
the commuting variety. (We conjecture there to be only one other component.)
  The diagonal commutator scheme has a flat degeneration to the scheme {(X,Y) :
XY lower triangular, YX upper triangular}, which is again a reduced complete
intersection, this time with n! components (one for each permutation). The
degrees of these components give interesting invariants of permutations.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 19:26:49 GMT""}]","2010-04-26"
"math/0306276","Eric Bedford","Eric Bedford and Jeffrey Diller","Real and complex dynamics of a family of birational maps of the plane:
  the golden mean subshift","45 pages, 12 figures",,,,"math.DS math.CV",,"  We give a detailed description of the dynamics of a family of birational
mappings of the plane. The organizing theme of our analysis is that this family
is essentially conjugate to the golden mean subshift.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 22:37:58 GMT""}]","2007-05-23"
"math/0306277","Bjorn Poonen","Bjorn Poonen","Hilbert's Tenth Problem and Mazur's Conjecture for large subrings of Q","10 pages","J. Amer. Math. Soc. 16 (2003), no. 4, 981-990","10.1090/S0894-0347-03-00433-8",,"math.NT math.LO",,"  We give the first examples of infinite sets of primes S such that Hilbert's
Tenth Problem over Z[S^{-1}] has a negative answer. In fact, we can take S to
be a density 1 set of primes. We show also that for some such S there is a
punctured elliptic curve E' over Z[S^{-1}] such that the topological closure of
E'(Z[S^{-1}]) in E'(R) has infinitely many connected components.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 23:50:10 GMT""}]","2017-04-03"
"math/0306278","Nicolas Burq","N. Burq and M. Zworski","Bouncing ball modes and quantum chaos","4 pages, 2 pictures",,,,"math.AP math-ph math.MP",,"  Quantum ergodicity of classically chaotic systems has been studied
extensively both theoretically and experimentally, in mathematics, and in
physics. Despite this long tradition we are able to present a new rigorous
result using only elementary calculus. In the case of the famous Bunimovich
billiard table we prove that the wave functions have to spread into any
neighbourhood of the wings.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 23:59:16 GMT""}]","2007-05-23"
"math/0306279","Eilon Solan","Rida Laraki (CNRS, Ecole Polytechnique), Eilon Solan (Northwestern
  University and Tel Aviv University)","Stopping games in continuous time","21 pages",,,,"math.OC math.PR",,"  We study two-player zero-sum stopping games in continuous time and infinite
horizon. We prove that the value in randomized stopping times exists as soon as
the payoff processes are right-continuous. In particular, as opposed to
existing literature, we do not assume any conditions on the relations between
the payoff processes. We also show that both players have simple epsilon-
optimal randomized stopping times; namely, randomized stopping times which are
small perturbations of non-randomized stopping times.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 05:38:56 GMT""}]","2007-05-23"
"math/0306280","Benedetti Riccardo","S. Baseilhac and R. Benedetti","Quantum Hyperbolic Invariants Of 3-Manifolds With PSL(2,C)-Characters","49 pages, 17 figures. Together with our paper `Classical And Quantum
  Dilogarithmic Invariants Of Flat PSL(2,C)-Bundles Over 3-Manifolds' avalaible
  on the same ArXiv, this develops with full details the results announced in
  math.GT/0211061","Topology 43 (2004) 1373--1423",,,"math.GT hep-th",,"  We construct {\it quantum hyperbolic invariants} (QHI) for triples
$(W,L,\rho)$, where $W$ is a compact closed oriented 3-manifold, $\rho$ is a
flat principal bundle over $W$ with structural group $PSL(2,\mc)$, and $L$ is a
non-empty link in $W$. These invariants are based on the Faddeev-Kashaev's {\it
quantum dilogarithms}, interpreted as matrix valued functions of suitably
decorated hyperbolic ideal tetrahedra. They are explicitely computed as state
sums over the decorated hyperbolic ideal tetrahedra of the {\it idealization}
of any fixed {\it $\Dd$-triangulation}; the $\Dd$-triangulations are simplicial
1-cocycle descriptions of $(W,\rho)$ in which the link is realized as a
Hamiltonian subcomplex. We also discuss how to set the Volume Conjecture for
the coloured Jones invariants $J_N(L)$ of hyperbolic knots $L$ in $S^3$ in the
framework of the general QHI theory.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 07:58:47 GMT""}]","2007-05-23"
"math/0306281","Tobias Hirsch","Tobias Hirsch and Bernd Martin","Deformations with section: Cotangent cohomology, flatness conditions and
  modular subgerms","26 pages",,,,"math.CV",,"  We study modular subspaces corresponding to two deformation functors
associated to an isolated singularity X_0: the functor Def_{X_0} of
deformations of X_0 and the functor Def^s_{X_0} of deformations with section of
X_0. After recalling some standard facts on the cotangent cohomology of
analytic algebras and the general theory of deformations with section, we give
several criteria for modularity in terms of the relative cotangent cohomology
modules of a deformation. In particular it is shown that the modular strata for
the functors Def_{X_0} and Def^s_{X_0} of quasihomogeneous complete
intersection singularities coincide. Flatness conditions for the first
cotangent cohomology modules of the deformation functors under consideration
are then compared.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 08:33:55 GMT""}]","2007-05-23"
"math/0306282","Rasul Shafikov","Rasul Shafikov and Christian Wolf","Stable sets, hyperbolicity and dimension",,,,,"math.DS",,"  In this note we derive an upper bound for the Hausdorff dimension of the
stable set of a hyperbolic set $\Lambda$ of a $C^2$ diffeomorphisms on a
$n$-dimensional manifold. As a consequence we obtain that $\dim_H
W^s(\Lambda)=n$ is equivalent to the existence of a SRB-measure. We also
discuss related results in the case of expanding maps.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 08:12:11 GMT""}]","2007-05-23"
"math/0306283","Benedetti Riccardo","Stephane Baseilhac and Riccardo Benedetti","Classical and quantum dilogarithmic invariants of flat PSL(2,C)-bundles
  over 3-manifolds","Published by Geometry and Topology at
  http://www.maths.warwick.ac.uk/gt/GTVol9/paper15.abs.html","Geom. Topol. 9 (2005) 493-569","10.2140/gt.2005.9.493",,"math.GT hep-th",,"  We introduce a family of matrix dilogarithms, which are automorphisms of C^N
tensor C^N, N being any odd positive integer, associated to hyperbolic ideal
tetrahedra equipped with an additional decoration. The matrix dilogarithms
satisfy fundamental five-term identities that correspond to decorated versions
of the 2 --> 3 move on 3-dimensional triangulations. Together with the
decoration, they arise from the solution we give of a symmetrization problem
for a specific family of basic matrix dilogarithms, the classical (N=1) one
being the Rogers dilogarithm, which only satisfy one special instance of
five-term identity. We use the matrix dilogarithms to construct invariant state
sums for closed oriented 3-manifolds $W$ endowed with a flat principal
PSL(2,C)-bundle rho, and a fixed non empty link L if N>1, and for (possibly
""marked"") cusped hyperbolic 3-manifolds M. When N=1 the state sums recover
known simplicial formulas for the volume and the Chern-Simons invariant. When
N>$, the invariants for M are new; those for triples (W,L,rho) coincide with
the quantum hyperbolic invariants defined in [Topology 43 (2004) 1373-1423],
though our present approach clarifies substantially their nature. We analyse
the structural coincidences versus discrepancies between the cases N=1 and N>1,
and we formulate ""Volume Conjectures"", having geometric motivations, about the
asymptotic behaviour of the invariants when N tends to infinity.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 08:44:46 GMT""},{""version"":""v2"",""created"":""Thu, 14 Apr 2005 20:32:59 GMT""}]","2014-11-11"
"math/0306284","Chandiraraj Robinson Edward Raja","C. R. E. Raja","Ergodic amenable actions of algebraic groups","5 pages, to appear in Glasgow Mathematical Journal","Glasgow Math. J. 46 (2004), 97-100",,,"math.DS math.GR",,"  We prove that every ergodic amenable action of an algebraic group over a
local field of characteristic zero is induced from an ergodic action of an
amenable subgroup.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 10:15:21 GMT""}]","2007-05-23"
"math/0306285","Klaus Altmann","Klaus Altmann, Juergen Hausen","Polyhedral Divisors and Algebraic Torus Actions","Major revision, new results added, to appear in Math. Ann., 40 pages","Math. Ann. 334, 557-607 (2006)",,,"math.AG",,"  We provide a complete description of normal affine varieties with effective
algebraic torus action in terms of what we call proper polyhedral divisors on
semiprojective varieties. Our theory extends classical cone constructions of
Dolgachev, Demazure and Pinkham to the multigraded case, and it comprises the
theory of affine toric varieties.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 14:33:28 GMT""},{""version"":""v2"",""created"":""Fri, 21 Oct 2005 15:55:49 GMT""}]","2007-05-23"
"math/0306286","Ilia Krasikov","Ilia Krasikov","On extreme zeros of classical orthogonal polynomials",,,,,"math.CA",,"  Let $x_1$ and $x_k$ be the least and the largest zeros of the Laguerre or
Jacobi polynomial of degree $k.$ We shall establish sharp inequalities of the
form $x_1 <A, x_k >B,$ which are uniform in all the parameters involved.
Together with inequalities in the opposite direction, recently obtained by the
author, this locates the extreme zeros of classical orthogonal polynomials with
the relative precision, roughly speaking, $O(k^{-2/3}).$
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 11:28:11 GMT""}]","2016-09-07"
"math/0306287","Simone Secchi","Simone Secchi, Marco Squassina","On the location of concentration points for singularly perturbed
  elliptic equations","Final revised version, accepted for publication",,,,"math.AP",,"  By means of a variational identity of Poho\v{z}aev-Pucci-Serrin type for
solutions of class $C^1$ recently obtained, we give some necessary conditions
for locating the concentration points for a class of quasi-linear elliptic
problems in divergence form. More precisely we show that the points where the
concentration occurs must be critical, either in a generalized or in the
classical sense, for a suitable ground state function.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 12:48:34 GMT""},{""version"":""v2"",""created"":""Mon, 10 Nov 2003 10:14:48 GMT""},{""version"":""v3"",""created"":""Wed, 19 Nov 2003 08:50:25 GMT""}]","2007-05-23"
"math/0306288","Piotr M. Hajac","P.M. Hajac, M. Khalkhali, B. Rangipour, Y. Sommerhaeuser","Hopf-cyclic homology and cohomology with coefficients",,,,,"math.KT math.RA",,"  Following the idea of an invariant differential complex, we construct
general-type cyclic modules that provide the common denominator of known cyclic
theories. The cyclicity of these modules is governed by Hopf-algebraic
structures. We prove that the existence of a cyclic operator forces a
modification of the Yetter-Drinfeld compatibility condition leading to the
concept of a stable anti-Yetter-Drinfeld module. This module plays the role of
the space of coefficients in the thus obtained cyclic cohomology of module
algebras and coalgebras, and the cyclic homology and cohomology of comodule
algebras. Along the lines of Connes and Moscovici, we show that there is a
pairing between the cyclic cohomology of a module coalgebra acting on a module
algebra and closed 0-cocycles on the latter. The pairing takes values in the
usual cyclic cohomology of the algebra. Similarly, we argue that there is an
analogous pairing between closed 0-cocycles of a module coalgebra and the
cyclic cohomology of a module algebra.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 13:57:47 GMT""},{""version"":""v2"",""created"":""Tue, 1 Jul 2003 12:03:39 GMT""}]","2007-05-23"
"nlin/0306040","Andres Moreira","Andres Moreira, Nino Boccara and Eric Goles","On Conservative and Monotone One-dimensional Cellular Automata and Their
  Particle Representation","38 pages, 2 figures. To appear in Theo. Comp. Sc. Several changes
  throughout the text; major change in section 4.2",,,,"nlin.CG",,"  Number-conserving (or {\em conservative}) cellular automata have been used in
several contexts, in particular traffic models, where it is natural to think
about them as systems of interacting particles. In this article we consider
several issues concerning one-dimensional cellular automata which are
conservative, monotone (specially ``non-increasing''), or that allow a weaker
kind of conservative dynamics. We introduce a formalism of ``particle
automata'', and discuss several properties that they may exhibit, some of
which, like anticipation and momentum preservation, happen to be intrinsic to
the conservative CA they represent. For monotone CA we give a characterization,
and then show that they too are equivalent to the corresponding class of
particle automata. Finally, we show how to determine, for a given CA and a
given integer $b$, whether its states admit a $b$-neighborhood-dependent
relabelling whose sum is conserved by the CA iteration; this can be used to
uncover conservative principles and particle-like behavior underlying the
dynamics of some CA. Complements at {\tt http://www.dim.uchile.cl/\verb'
'anmoreir/ncca}
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 03:51:52 GMT""},{""version"":""v2"",""created"":""Tue, 27 Jan 2004 21:37:49 GMT""}]","2007-05-23"
"nucl-ex/0306025","Gunther Roland","B. B. Back, et al. ( PHOBOS Collaboration )","Centrality dependence of charged hadron transverse momentum spectra in
  d+Au collisions at sqrt(s_NN) = 200 GeV","5 pages, 4 figures, submitted to PRL","Phys.Rev.Lett.91:072302,2003","10.1103/PhysRevLett.91.072302",,"nucl-ex",,"  We have measured transverse momentum distributions of charged hadrons
produced in d+Au collisions at sqrt(s_NN) = 200 GeV. The spectra were obtained
for transverse momenta 0.25 < p_T < 6.0 GeV/c, in a pseudorapidity range of 0.2
< eta < 1.4 in the deuteron direction. The evolution of the spectra with
collision centrality is presented in comparison to p+pbarcollisions at the same
collision energy. With increasing centrality, the yield at high transverse
momenta increases more rapidly than the overall particle density, leading to a
strong modification of the spectral shape. This change in spectral shape is
qualitatively different from observations in Au+Au collisions at the same
energy. The results provide important information for discriminating between
different models for the suppression of high-p_T hadrons observed in Au+Au
collisions.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 19:46:56 GMT""}]","2008-11-26"
"nucl-ex/0306027","A. K. Opper","A.K. Opper, E. Korkmaz, D.A. Hutcheon, R. Abegg, C.A. Davis, R.W.
  Finlay, P.W. Green, L.G. Greeniaus, D.V. Jordan, J.A. Niskanen, G.V.
  O'Rielly, T.A. Porcelli, S.D. Reitzner, P.L. Walden, and S. Yen","Charge symmetry breaking in n p --> d pi^0","5 pages, 2 figures, submitted to Phys Rev Let","Phys.Rev.Lett.91:212302,2003","10.1103/PhysRevLett.91.212302",,"nucl-ex",,"  The forward--backward asymmetry in n p --> d pi^0, which must be zero in the
center-of-mass system if charge symmetry is respected, has been measured to be
[17.2 +/- 8 (stat) +/- 5.5 (sys)] * 10^{-4}, at an incident neutron energy of
279.5 MeV. This charge symmetry breaking observable was extracted by fitting
the data with GEANT-based simulations and is compared to recent chiral
effective field theory calculations, with implications regarding the value of
the u d quark mass difference.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 13:54:48 GMT""}]","2014-11-18"
"nucl-th/0306050","Roman Sen'kov","V.F. Dmitriev and R.A. Sen'kov","Schiff moment of the Mercury nucleus and the proton dipole moment","4 pages, 2 figures, RevTex4","Phys.Rev.Lett.91:212303,2003","10.1103/PhysRevLett.91.212303",,"nucl-th",,"  We calculated the contribution of internal nucleon electric dipole moments to
the Schiff moment of $^{199}$Hg. The contribution of the proton electric dipole
moment was obtained via core polarization effects that were treated in the
framework of random phase approximation with effective residual forces. We
derived a new upper bound $|d_p|< 5.4\times 10^{-24} e\cdot$cm of the proton
electric dipole moment.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 08:59:28 GMT""},{""version"":""v2"",""created"":""Mon, 30 Jun 2003 03:07:20 GMT""},{""version"":""v3"",""created"":""Fri, 28 Nov 2003 06:38:24 GMT""}]","2008-11-26"
"nucl-th/0306051","Yang Sun","Yang Sun (Notre Dame), Cheng-Li Wu (NCTS, Taiwan)","Multi-Shell Shell Model for Heavy Nuclei","14 pages, 1 figure, and 2 tables","Phys.Rev. C68 (2003) 024315","10.1103/PhysRevC.68.024315",,"nucl-th astro-ph nucl-ex",,"  Performing a shell model calculation for heavy nuclei has been a
long-standing problem in nuclear physics. Here we propose one possible
solution. The central idea of this proposal is to take the advantages of two
existing models, the Projected Shell Model (PSM) and the Fermion Dynamical
Symmetry Model (FDSM), to construct a multi-shell shell model. The PSM is an
efficient method of coupling quasi-particle excitations to the high-spin
rotational motion, whereas the FDSM contains a successful truncation scheme for
the low-spin collective modes from the spherical to the well-deformed region.
The new shell model is expected to describe simultaneously the single-particle
and the low-lying collective excitations of all known types, yet keeping the
model space tractable even for the heaviest nuclear systems.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 14:55:54 GMT""}]","2009-11-10"
"physics/0306140","George Parzen","G. Parzen","Island Resonances","18 pages, 19 figures",,,"BNL/SNS Tech, Note No. 122","physics.acc-ph",,"  Resonances driven by the error field multipoles in the magnets often show
themselves as islands in phase plots of the particle motion. In order to be
able to measure the strength of the island resonance, and then to correct it,
it is helpful to study how these resonances show themselves. In particular, one
can study how the presence of the island resonances distort the tune dependence
on the amplitude, and the emittance growth caused by the island resonance.
Islands in 4-dimensional phase space, unlike islands in 2-dimensional phase
space, are not easy to visualize. This study will show how to visualize the
islands in 4-dimensional phase space by studying the tune dependence on the
amplitude of the particle motion. These effects are to some extent measureable,
and can lead to a way to correct the resonance.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 18:06:02 GMT""}]","2007-05-23"
"physics/0306141","RD Schaffer","C. Arnault, A. Schaffer","Use of a Generic Identification Scheme Connecting Events and Detector
  Description in the ATLAS Experiment",,,,,"physics.comp-ph",,"  High energy physics detectors can be described hierarchically from the
different subsystems to their divisions in r, phi, theta and to the individual
readout channels. An identification schema that follows the logical
decomposition of the ATLAS detector has been introduced allowing identification
of individual readout channels as well as other parts of the detector, in
particular detector elements. These identifiers provide a sort of ?glue?
allowing, for example, the connection of raw event data to their detector
description for position calculation or alignment corrections, as well as fast
access to subsets of the event data for event trigger selection. There are two
important requirements on the software to support such an identification
scheme. First is the possibility to formally specify these identifiers in terms
of their structure and allowed values. And second is to generate different
forms of the identifiers optimised in terms of access efficiency to information
content, compactness or search key efficiency. We present here the generic
toolkit developed in the context of the ATLAS experiment to primarily provide
the identification of the readout channels and detector elements. The
architecture of the toolkit is decomposed into three parts: an XML-based
dictionary containing the formal specification of a particular range of
identifiers, a set of various identifier classes (offering various level of
compaction), and finally a set of ?helper? classes, specific for each detector
system, which serve as intermediaries between the dictionary and the identifier
classes to create, manipulate and interpret the identifiers. This architecture
will be described as well as the various applications of this identification
scheme.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 17:01:53 GMT""}]","2007-05-23"
"physics/0306142","David W. Dreisigmeyer","David W. Dreisigmeyer and Peter M. Young","Nonconservative Lagrangian Mechanics: A generalized function approach","To be published in Journal of Physics A: Mathematical and General,
  IOP Publishing Ltd. See http://www.iop.org","J.Phys.A36:8297-8310,2003","10.1088/0305-4470/36/30/307",,"physics.class-ph",,"  We reexamine the problem of having nonconservative equations of motion arise
from the use of a variational principle. In particular, a formalism is
developed that allows the inclusion of fractional derivatives. This is done
within the Lagrangian framework by treating the action as a Volterra series. It
is then possible to derive two equations of motion, one of these is an advanced
equation and the other is retarded.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:19:44 GMT""}]","2008-11-26"
"physics/0306143","Carla Faria","C. Figueira de Morisson Faria, X. Liu, H. Schomerus and W. Becker","Coulomb repulsion and quantum-classical correspondence in laser-induced
  nonsequential double ionization","5 pages revtex4, 4 eps files; contents and figures have been modified","Phys. Rev. A 69, 021402(R) (2004)","10.1103/PhysRevA.69.021402",,"physics.atom-ph",,"  The influence of electron-electron Coulomb repulsion on nonsequential double
ionization of rare-gas atoms is investigated. Several variants of the
quantum-mechanical transition amplitude are evaluated that differ by the form
of the inelastic electron-ion rescattering and whether or not Coulomb repulsion
between the two electrons in the final state is included. For high laser
intensity, an entirely classical model is formulated that simulates the
rescattering scenario.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:45:27 GMT""},{""version"":""v2"",""created"":""Thu, 9 Oct 2003 13:22:14 GMT""}]","2007-05-23"
"physics/0306144","Dmitry Budker","Katherine Kerner, Simon M. Rochester, Valeriy V. Yashchuk, and D.
  Budker","Variable Free Spectral Range Spherical Mirror Fabry-Perot Interferometer","11 pages, 7 figures, accepted to Siberian Journal of Physics",,,,"physics.atom-ph physics.optics",,"  A spherical Fabry-Perot interferometer with adjustable mirror spacing is used
to produce interference fringes with frequency separation (c/2L)/N, N=2-15. The
conditions for observation of these fringes are derived from the consideration
of the eigenmodes of the cavity with high transverse indices.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 23:36:29 GMT""}]","2007-05-23"
"physics/0306145","Daniel Korenblum","Daniel Korenblum and David Shalloway","Macrostate Data Clustering","keywords: cluster analysis, clustering, pattern recognition, spectral
  graph theory, dynamic eigenvectors, machine learning, macrostates,
  classification","Phys. Rev. E 67, 056704 (2003) (12 pages)","10.1103/PhysRevE.67.056704",,"physics.data-an physics.comp-ph",,"  We develop an effective nonhierarchical data clustering method using an
analogy to the dynamic coarse graining of a stochastic system. Analyzing the
eigensystem of an interitem transition matrix identifies fuzzy clusters
corresponding to the metastable macroscopic states (macrostates) of a diffusive
system. A ""minimum uncertainty criterion"" determines the linear transformation
from eigenvectors to cluster-defining window functions. Eigenspectrum gap and
cluster certainty conditions identify the proper number of clusters. The
physically motivated fuzzy representation and associated uncertainty analysis
distinguishes macrostate clustering from spectral partitioning methods.
Macrostate data clustering solves a variety of test cases that challenge other
methods.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 03:46:06 GMT""}]","2009-11-10"
"physics/0306147","Robert A. Herrmann","Robert A. Herrmann","The Best Possible Unification for any Collection of Physical Theories","Plain Tex, 10 pages. In this version, additional material is added","Int.J.Math.Math.Sci.17:861-872,2004",,,"physics.gen-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  It is shown that the set of all finitary consequence operators defined on any
nonempty language is a join-complete lattice. This result is applied to various
collections of physical theories to obtain an unrestricted supremum
unification.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 11:44:44 GMT""},{""version"":""v2"",""created"":""Mon, 8 Sep 2003 10:35:23 GMT""},{""version"":""v3"",""created"":""Wed, 17 Mar 2004 12:01:06 GMT""},{""version"":""v4"",""created"":""Mon, 29 May 2006 12:28:42 GMT""},{""version"":""v5"",""created"":""Fri, 8 Dec 2006 14:16:20 GMT""},{""version"":""v6"",""created"":""Sat, 29 Mar 2008 11:27:31 GMT""},{""version"":""v7"",""created"":""Sun, 22 Nov 2009 13:54:08 GMT""}]","2014-11-18"
"quant-ph/0306125","Almut Beige","Almut Beige","Quantum computing using dissipation (proceedings)","Proceedings for the XXIV International Colloquium on Group
  Theoretical Methods in Physics, Paris, July 2002","Inst. Phys. Conf. Ser. 173, 35 (2003)",,,"quant-ph",,"  The principal obstacle to quantum information processing with many qubits is
decoherence. One source of decoherence is spontaneous emission which causes
loss of energy and information. Inability to control system parameters with
high precision is another possible source of error. As a solution we propose
quantum computing experiments using dissipation based on an environment-induced
quantum Zeno effect. As an example we present a simple scheme for quantum gate
implementations with cold trapped ions in the presence of cooling.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 19:51:49 GMT""}]","2007-05-23"
"quant-ph/0306126","Roberto M. Serra","R. M. Serra, C. J. Villas-Boas, N. G. de Almeida, and M. H. Y. Moussa","Frequency up- and down-conversions in two-mode cavity quantum
  electrodynamics",,"Phys. Rev. A 71, 045802 (2005)","10.1103/PhysRevA.71.045802",,"quant-ph",,"  In this letter we present a scheme for the implementation of frequency up-
and down-conversion operations in two-mode cavity quantum electrodynamics
(QED). This protocol for engineering bilinear two-mode interactions could
enlarge perspectives for quantum information manipulation and also be employed
for fundamental tests of quantum theory in cavity QED. As an application we
show how to generate a two-mode squeezed state in cavity QED (the original
entangled state of Einstein-Podolsky-Rosen).
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 21:45:10 GMT""},{""version"":""v2"",""created"":""Wed, 28 Jul 2004 10:38:35 GMT""}]","2007-05-23"
"quant-ph/0306127","Hyuk-jae Lee","Hyuk-jae Lee, Sung Dahm Oh and Doyeol Ahn","Entanglement measure for any quantum states","6 pages, Revtex",,,,"quant-ph",,"  The entanglement measure for multiqudits is proposed. This measure calculates
the partial entanglement distributed by subsystems and the complete
entanglement of the total system. This shows that we need to measure the
subsystem entanglements to explain the full description for multiqudit
entanglement. Furthermore, we extend the entanglement measure to mixed
multiqubits and the higher dimension Hilbert spaces.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 02:53:40 GMT""}]","2007-05-23"
"quant-ph/0306128","Fariel Shafee","Fariel Shafee","Quantum Control of Expectation Values of Observables",,,,,"quant-ph",,"  We study the changes if any of the expectation value of a general observable
in a quantum system, the difficulties associated with the detection of these
changes, and the possible methods for correcting the system through unitary
control to maintain a constant average expectation value of the observable.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 03:27:38 GMT""},{""version"":""v2"",""created"":""Sun, 29 Jun 2003 15:23:53 GMT""}]","2007-05-23"
"quant-ph/0306129","Daniel Collins","Daniel Collins and Nicolas Gisin","A Relevant Two Qubit Bell Inequality Inequivalent to the CHSH Inequality","6 pages, 1 figure, family of m-measurement n-outcome inequalities,
  and demonstration of non-locality sharing added","J. Phys. A: Math. Gen. 37, 1775 (2004)","10.1088/0305-4470/37/5/021",,"quant-ph",,"  We computationally investigate the complete polytope of Bell inequalities for
2 particles with small numbers of possible measurements and outcomes. Our
approach is limited by Pitowsky's connection of this problem to the
computationally hard NP problem. Despite this, we find that there are very few
relevant inequivalent inequalities for small numbers. For example, in the case
with 3 possible 2-outcome measurements on each particle, there is just one new
inequality. We describe mixed 2-qubit states which violate this inequality but
not the CHSH. The new inequality also illustrates a sharing of bi-partite
non-locality between three qubits: something not seen using the CHSH
inequality. It also inspires us to discover a class of Bell inequalities with m
possible n-outcome measurements on each particle.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 09:50:44 GMT""},{""version"":""v2"",""created"":""Fri, 29 Aug 2003 14:46:51 GMT""}]","2023-03-23"
"quant-ph/0306130","Quesne Christiane","X.-M. Liu, C. Quesne","Even and odd q-deformed charge coherent states and their nonclassical
  properties","LaTeX, 23 pages, no figure, minor changes, final version to be
  published in PLA","Phys. Lett. A 317 (2003) 210-222","10.1016/j.physleta.2003.08.048","ULB/229/CQ/03/3","quant-ph math-ph math.MP math.QA physics.optics",,"  Even and odd q-deformed charge coherent states are constructed, their
(over)completeness proved and their generation explored. A $D$-algebra
realization of the SU$_q$(1,1) generators is given in terms of them. They are
shown to exhibit SU$_q$(1,1) squeezing and two-mode $q$-antibunching, but
neither one-mode, nor two-mode $q$-squeezing.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 10:07:06 GMT""},{""version"":""v2"",""created"":""Fri, 22 Aug 2003 11:39:09 GMT""}]","2015-06-26"
"quant-ph/0306131","Giovanni Di Giuseppe","Giovanni Di Giuseppe, Mete Atature, Matthew D. Shaw, Alexander V.
  Sergienko, Bahaa E. A. Saleh, Malvin C. Teich, Aaron J. Miller, Sae Woo Nam,
  John Martinis","Observation of bosonic coalescence of photon pairs","4 pages, 2 figures, submitted to Phys. Rev. Lett","Phys. Rev. A 68, 063817 (2003)","10.1103/PhysRevA.68.063817",,"quant-ph",,"  Quantum theory predicts that two indistinguishable photons incident on a
beam-splitter interferometer stick together as they exit the device (the pair
emerges randomly from one port or the other). We use a special
photon-number-resolving energy detector for a direct loophole-free observation
of this quantum-interference phenomenon. Simultaneous measurements from two
such detectors, one at each beam-splitter output port, confirm the absence of
cross-coincidences.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 15:03:08 GMT""}]","2019-10-23"
